Employee_ID,Age,Gender,Marital_Status,Education_Level,Job_Role,Department,Years_with_Company,Current_Salary,Job_Satisfaction_Score,Performance_Rating,Promotion_History,Training_History,Exit_Reason,Work_Life_Balance_Score,Previous_Experience_Years,Status,Date_of_Joining,Date_of_Leaving,Resignation Status
EMP_37,46,Male,Married,High School,Sales,Finance,18,99753,1,1,2,Completed,None,5,2,Active,3/7/2014,,N
EMP_38,35,Male,Single,Doctorate,HR,Engineering,5,103184,4,3,0,Not Completed,Involuntary,4,12,Active,3/7/2009,,N
EMP_39,48,Other,Single,Doctorate,Sales,Sales,7,47519,5,2,2,Not Completed,Retirement,5,11,Active,6/20/2017,,N
EMP_40,53,Female,Divorced,Doctorate,Engineer,IT,15,61953,5,3,0,Not Completed,None,4,6,Active,7/26/2018,,N
EMP_41,48,Female,Divorced,Master's,Sales,Sales,3,49804,5,4,0,Completed,None,1,11,Active,8/4/2016,,N
EMP_42,25,Male,Single,High School,Engineer,Sales,18,106286,5,3,2,Not Completed,Voluntary,4,13,Active,9/30/2019,,N
EMP_43,32,Female,Single,Doctorate,Engineer,Finance,6,95537,5,4,2,Not Completed,Voluntary,3,0,Active,3/16/2016,,N
EMP_44,24,Other,Divorced,High School,IT Support,Management,6,47275,2,1,2,Not Completed,Voluntary,4,0,Active,1/17/2016,,N
EMP_45,46,Male,Married,High School,IT Support,Management,1,103418,3,1,0,Completed,None,1,7,Resigned,3/12/2013,8/16/2019,Y
EMP_46,45,Female,Divorced,Bachelor's,HR,Finance,17,92068,5,4,1,Not Completed,Retirement,5,8,Active,3/9/2018,,N
EMP_47,30,Female,Divorced,High School,Engineer,Sales,11,93344,1,4,2,Completed,Voluntary,3,2,Terminated,8/12/2015,1/20/2024,Y
EMP_48,29,Female,Divorced,Doctorate,Sales,Sales,2,108284,3,4,1,Not Completed,Involuntary,4,5,Resigned,11/5/2004,3/7/2006,Y
EMP_49,52,Female,Divorced,High School,Manager,HR,9,62601,4,3,1,Not Completed,Voluntary,1,14,Terminated,3/7/2016,7/26/2019,Y
EMP_50,38,Male,Divorced,Bachelor's,IT Support,IT,19,57575,4,4,1,Completed,Involuntary,3,13,Active,6/10/2012,,N
EMP_51,52,Male,Divorced,Master's,Finance,Engineering,6,82705,5,2,1,Not Completed,None,3,2,Resigned,8/29/2004,11/5/2006,Y
EMP_52,25,Other,Divorced,Master's,Finance,Engineering,7,85221,2,4,1,Not Completed,None,3,5,Resigned,7/13/2000,8/26/2007,Y
EMP_53,25,Male,Married,Bachelor's,Sales,Management,4,62369,2,1,0,Not Completed,Voluntary,4,6,Active,11/22/2015,,N
EMP_54,58,Female,Divorced,Doctorate,IT Support,Finance,3,74617,3,4,0,Completed,Voluntary,1,4,Active,7/20/2014,,N
EMP_55,29,Female,Single,Doctorate,Manager,Sales,2,88315,2,1,0,Completed,Voluntary,1,2,Active,7/28/2001,,N
EMP_56,27,Female,Divorced,Doctorate,Engineer,IT,10,45317,4,1,1,Completed,None,1,7,Active,3/14/2007,,N
EMP_57,30,Other,Married,High School,IT Support,Engineering,10,86109,5,3,0,Not Completed,Involuntary,2,12,Active,1/11/2016,,N
EMP_58,29,Male,Single,Master's,Sales,Finance,17,58318,1,4,2,Not Completed,None,5,4,Active,9/1/2017,,N
EMP_59,53,Male,Divorced,Doctorate,Engineer,Finance,16,71239,4,1,1,Not Completed,None,1,0,Active,3/11/2016,,N
EMP_60,36,Male,Divorced,Master's,IT Support,Sales,1,117704,4,2,2,Completed,Retirement,2,11,Terminated,5/16/2016,3/18/2020,Y
EMP_61,39,Female,Single,Bachelor's,HR,IT,12,48082,3,4,1,Completed,None,2,14,Active,10/30/2012,,N
EMP_62,44,Female,Divorced,Master's,Manager,Finance,10,92520,2,4,1,Completed,None,3,8,Active,9/17/2012,,N
EMP_63,26,Female,Married,Doctorate,Finance,Engineering,1,41079,1,1,1,Not Completed,Voluntary,5,2,Active,1/23/2001,,N
EMP_64,48,Other,Divorced,Master's,Sales,HR,16,32884,1,3,1,Completed,Retirement,3,1,Active,3/17/2015,,N
EMP_65,54,Other,Married,Bachelor's,Finance,Engineering,11,66347,2,3,2,Completed,Retirement,5,2,Active,10/18/2004,,N
EMP_66,23,Female,Divorced,Master's,Engineer,IT,4,102731,5,4,1,Not Completed,Involuntary,3,6,Resigned,1/4/2019,3/13/2020,Y
EMP_67,59,Other,Single,High School,Engineer,HR,3,97787,2,4,1,Completed,Voluntary,4,11,Active,10/22/2001,,N
EMP_68,49,Other,Married,Bachelor's,HR,Finance,13,100176,5,3,0,Not Completed,Voluntary,5,10,Active,5/17/2015,,N
EMP_69,45,Other,Divorced,High School,Engineer,Engineering,15,48740,1,3,1,Not Completed,Voluntary,2,11,Active,10/3/2007,,N
EMP_70,42,Male,Divorced,High School,Engineer,Sales,10,42815,3,2,1,Completed,Voluntary,2,9,Resigned,11/3/2015,8/14/2018,Y
EMP_71,52,Other,Single,Doctorate,Finance,IT,6,95177,4,4,1,Completed,None,5,7,Terminated,9/3/2012,7/27/2021,Y
EMP_72,32,Female,Single,Doctorate,Finance,Finance,11,72891,1,4,1,Not Completed,None,3,1,Active,10/23/2000,,N
EMP_73,49,Male,Married,Bachelor's,Sales,Sales,1,82566,1,4,1,Completed,None,4,13,Active,5/15/2015,,N
EMP_74,25,Other,Married,Doctorate,Sales,HR,4,71968,1,3,1,Not Completed,Retirement,4,12,Resigned,1/31/2019,4/22/2027,Y
EMP_75,37,Female,Married,Master's,Engineer,Management,10,59913,4,1,2,Completed,None,1,6,Resigned,10/23/2018,4/14/2026,Y
EMP_76,33,Other,Divorced,Bachelor's,IT Support,Management,15,108440,5,2,2,Completed,None,5,10,Active,11/26/2000,,N
EMP_77,43,Female,Divorced,Doctorate,Manager,HR,1,84860,3,3,1,Not Completed,Involuntary,4,4,Active,7/22/2018,,N
EMP_78,56,Female,Married,Doctorate,Sales,Management,15,48462,3,3,2,Not Completed,None,3,8,Active,7/16/2010,,N
EMP_79,37,Other,Divorced,Master's,Engineer,IT,3,65482,3,2,0,Completed,Involuntary,3,6,Active,7/21/2013,,N
EMP_80,45,Other,Single,High School,IT Support,Finance,1,102483,5,4,0,Completed,None,2,0,Active,7/8/2003,,N
EMP_81,56,Male,Divorced,Master's,IT Support,Finance,6,31338,2,1,1,Not Completed,None,4,0,Active,12/14/2002,,N
EMP_82,49,Other,Married,High School,Finance,IT,19,42782,2,2,1,Completed,None,4,5,Active,10/15/2014,,N
EMP_83,50,Female,Divorced,Doctorate,IT Support,Engineering,4,115609,3,1,2,Completed,Voluntary,3,8,Active,12/7/2018,,N
EMP_84,42,Male,Single,High School,HR,Finance,12,36614,1,4,0,Completed,Voluntary,2,0,Terminated,5/24/2002,3/12/2010,Y
EMP_85,46,Female,Married,High School,Finance,Management,2,30741,1,1,1,Not Completed,Voluntary,4,2,Terminated,8/2/2010,1/3/2016,Y
EMP_86,52,Female,Married,Doctorate,Finance,IT,17,60210,4,4,0,Completed,Involuntary,3,12,Active,3/30/2013,,N
EMP_87,36,Other,Married,Bachelor's,HR,Sales,6,96269,2,3,2,Completed,Involuntary,2,4,Resigned,9/26/2016,7/18/2026,Y
EMP_88,56,Female,Married,Master's,Finance,Engineering,12,43944,1,4,1,Completed,Voluntary,2,3,Active,5/9/2007,,N
EMP_89,59,Other,Divorced,Doctorate,Sales,Sales,15,86991,3,2,1,Not Completed,None,3,0,Active,10/25/2006,,N
EMP_90,43,Female,Single,Master's,Finance,Management,17,31806,4,2,1,Not Completed,Voluntary,2,9,Active,5/4/2004,,N
EMP_91,26,Male,Divorced,Master's,HR,Sales,1,43285,2,4,0,Completed,None,2,3,Resigned,6/4/2010,8/24/2016,Y
EMP_92,34,Other,Divorced,High School,Engineer,Management,14,106993,4,4,2,Not Completed,Voluntary,1,3,Terminated,1/19/2008,9/1/2009,Y
EMP_93,53,Male,Married,Doctorate,Engineer,Finance,2,97289,1,3,0,Not Completed,Involuntary,2,10,Resigned,3/10/2016,1/13/2021,Y
EMP_94,24,Other,Single,Bachelor's,Engineer,Engineering,4,70126,3,3,0,Completed,None,4,11,Active,3/21/2017,,N
EMP_95,36,Male,Divorced,Master's,HR,HR,2,110123,3,4,1,Completed,None,2,9,Resigned,4/13/2012,11/11/2018,Y
EMP_96,48,Other,Single,Master's,HR,Management,14,35857,3,1,2,Not Completed,Voluntary,4,12,Terminated,3/26/2012,5/1/2019,Y
EMP_97,48,Male,Single,Bachelor's,Sales,IT,18,63792,1,3,2,Completed,None,3,3,Active,9/30/2019,,N
EMP_98,51,Male,Single,Master's,HR,IT,8,117684,5,2,1,Completed,Retirement,2,2,Resigned,2/7/2015,7/26/2017,Y
EMP_99,27,Other,Single,Doctorate,IT Support,Finance,1,84361,3,3,2,Completed,None,3,6,Active,7/15/2017,,N
EMP_100,46,Other,Divorced,Bachelor's,Engineer,IT,16,66322,5,3,1,Completed,None,5,0,Resigned,10/5/2013,10/31/2017,Y
EMP_101,49,Female,Single,Doctorate,HR,Sales,7,105507,3,3,1,Not Completed,Retirement,2,1,Active,2/11/2004,,N
EMP_102,43,Female,Divorced,Bachelor's,Manager,Finance,6,41908,5,3,2,Not Completed,None,3,0,Active,1/15/2002,,N
EMP_103,25,Other,Single,Master's,Finance,IT,19,94627,2,4,2,Completed,None,5,13,Resigned,2/25/2007,11/20/2008,Y
EMP_104,36,Other,Single,Bachelor's,Sales,Sales,10,93643,2,3,2,Completed,None,4,3,Active,2/17/2004,,N
EMP_105,47,Male,Divorced,Doctorate,Engineer,Sales,6,51202,3,1,2,Not Completed,None,4,4,Active,11/5/2004,,N
EMP_106,39,Male,Married,Bachelor's,IT Support,Sales,10,100102,4,3,0,Completed,None,4,10,Active,5/7/2010,,N
EMP_107,30,Female,Divorced,Master's,IT Support,IT,19,89883,4,3,1,Completed,Involuntary,4,14,Resigned,5/15/2005,7/25/2014,Y
EMP_108,25,Female,Single,High School,Engineer,Sales,3,109558,1,2,1,Completed,Voluntary,4,9,Active,3/26/2018,,N
EMP_109,26,Female,Divorced,Master's,IT Support,Engineering,3,73720,2,3,1,Not Completed,None,1,4,Resigned,5/14/2004,6/4/2008,Y
EMP_110,27,Male,Single,Master's,Manager,IT,6,69662,2,2,1,Completed,None,3,1,Resigned,2/1/2013,1/21/2019,Y
EMP_111,33,Male,Divorced,High School,Sales,Sales,17,57030,4,2,0,Completed,Voluntary,5,10,Active,12/8/2006,,N
EMP_112,52,Male,Divorced,Bachelor's,Finance,Engineering,18,69850,3,4,2,Completed,Involuntary,5,2,Active,1/6/2010,,N
EMP_113,30,Female,Divorced,Master's,Sales,HR,10,115288,1,2,2,Completed,None,2,3,Active,2/7/2019,,N
EMP_114,28,Other,Married,High School,Sales,Engineering,6,65397,2,2,2,Completed,Involuntary,3,9,Active,2/4/2018,,N
EMP_115,50,Female,Divorced,Doctorate,Engineer,IT,13,86094,1,1,1,Not Completed,Voluntary,1,5,Active,4/10/2001,,N
EMP_116,35,Male,Divorced,High School,HR,IT,6,50616,2,1,0,Completed,Voluntary,1,5,Active,8/31/2005,,N
EMP_117,41,Female,Married,Master's,Finance,Sales,12,95334,5,2,0,Not Completed,None,3,11,Active,9/9/2006,,N
EMP_118,53,Female,Married,Doctorate,Sales,IT,14,36661,5,4,2,Not Completed,Involuntary,4,1,Active,5/17/2003,,N
EMP_119,43,Female,Single,Master's,Manager,HR,17,87029,1,1,1,Completed,Retirement,4,1,Resigned,7/23/2015,5/11/2018,Y
EMP_120,57,Female,Single,High School,Engineer,Finance,8,56047,4,1,2,Completed,None,3,8,Active,5/24/2000,,N
EMP_121,39,Male,Divorced,Doctorate,HR,Engineering,5,69043,4,4,1,Completed,None,5,11,Terminated,12/20/2017,5/9/2025,Y
EMP_122,46,Female,Single,Master's,HR,Finance,4,76442,2,3,2,Completed,Voluntary,4,1,Active,6/10/2006,,N
EMP_123,52,Male,Divorced,High School,Engineer,HR,6,91378,5,1,2,Completed,Voluntary,2,1,Active,12/12/2004,,N
EMP_124,56,Female,Married,Doctorate,Sales,Engineering,11,55943,5,2,0,Completed,Retirement,1,2,Active,5/6/2008,,N
EMP_125,47,Male,Married,Master's,IT Support,Sales,5,64487,1,2,1,Completed,None,4,14,Active,1/25/2011,,N
EMP_126,25,Other,Divorced,High School,Engineer,Engineering,14,104769,1,2,0,Completed,Voluntary,5,8,Resigned,5/2/2011,10/19/2020,Y
EMP_127,41,Male,Single,Master's,IT Support,Sales,10,99023,4,4,0,Completed,Involuntary,4,13,Active,7/4/2011,,N
EMP_128,55,Male,Single,Master's,HR,Management,11,54559,4,2,2,Completed,None,4,5,Active,10/7/2016,,N
EMP_129,33,Other,Single,Master's,HR,Engineering,3,101380,4,3,1,Not Completed,None,1,10,Active,8/16/2011,,N
EMP_130,37,Other,Divorced,Bachelor's,Manager,Engineering,8,71519,3,4,1,Completed,Involuntary,2,14,Active,7/11/2003,,N
EMP_131,26,Other,Single,Master's,Manager,Finance,5,41416,5,1,2,Completed,Voluntary,2,14,Active,4/19/2000,,N
EMP_132,56,Other,Married,Doctorate,HR,Finance,10,52859,5,4,2,Completed,Voluntary,5,11,Active,1/24/2014,,N
EMP_133,48,Other,Married,High School,Manager,HR,8,117789,1,2,2,Not Completed,Voluntary,3,5,Active,4/7/2013,,N
EMP_134,22,Other,Married,High School,Manager,Sales,9,48184,5,4,1,Not Completed,Voluntary,3,11,Active,6/22/2017,,N
EMP_135,55,Female,Married,Bachelor's,Manager,IT,15,57846,1,4,2,Not Completed,Involuntary,3,9,Active,3/12/2013,,N
EMP_136,53,Female,Married,Bachelor's,HR,Finance,1,72771,3,4,2,Completed,Retirement,5,4,Resigned,8/22/2007,4/1/2014,Y
EMP_137,54,Other,Married,Bachelor's,Sales,HR,5,116995,4,4,0,Not Completed,Voluntary,4,14,Active,2/10/2012,,N
EMP_138,52,Male,Married,Master's,Sales,Sales,15,45498,3,3,2,Completed,None,2,6,Active,5/11/2002,,N
EMP_139,34,Male,Married,Master's,Finance,Sales,4,99798,4,4,2,Completed,None,2,10,Active,10/27/2014,,N
EMP_140,23,Other,Married,Doctorate,Manager,Sales,19,62914,4,2,1,Not Completed,Retirement,4,14,Active,2/23/2015,,N
EMP_141,51,Female,Divorced,High School,Sales,Management,10,82980,1,1,2,Completed,None,2,3,Active,4/5/2001,,N
EMP_142,31,Female,Divorced,High School,Finance,Sales,2,75500,4,3,1,Not Completed,None,2,14,Active,1/9/2003,,N
EMP_143,44,Male,Married,Master's,Engineer,HR,5,64885,3,4,0,Not Completed,None,3,9,Active,9/18/2014,,N
EMP_144,54,Other,Married,High School,Manager,Sales,18,68215,2,1,0,Not Completed,Voluntary,3,9,Active,1/13/2002,,N
EMP_145,50,Female,Married,Master's,Sales,IT,6,94320,1,3,1,Completed,Voluntary,1,2,Resigned,8/7/2006,6/26/2013,Y
EMP_146,51,Other,Single,Bachelor's,Sales,IT,10,116934,4,2,2,Completed,Retirement,1,6,Resigned,5/20/2010,11/5/2016,Y
EMP_147,55,Other,Divorced,Master's,IT Support,Sales,15,59924,4,2,1,Completed,Retirement,2,13,Active,4/8/2015,,N
EMP_148,38,Male,Married,Doctorate,Sales,HR,9,85099,5,1,2,Completed,Voluntary,3,9,Active,9/2/2013,,N
EMP_149,43,Other,Divorced,Master's,IT Support,Engineering,13,93113,1,4,2,Not Completed,None,1,0,Active,3/18/2001,,N
EMP_150,26,Other,Married,Master's,Finance,Sales,18,30318,1,1,2,Completed,Voluntary,1,5,Resigned,1/7/2005,7/11/2014,Y
EMP_151,32,Male,Single,High School,IT Support,HR,7,107697,3,3,1,Not Completed,None,3,12,Terminated,6/4/2002,6/6/2008,Y
EMP_152,43,Female,Married,Master's,Engineer,Finance,2,107859,2,1,0,Completed,Involuntary,1,10,Active,7/7/2019,,N
EMP_153,53,Other,Divorced,Doctorate,Manager,HR,16,35749,3,1,1,Not Completed,None,4,10,Active,11/13/2009,,N
EMP_154,45,Male,Divorced,Master's,Sales,Management,2,39528,3,4,2,Not Completed,Involuntary,4,10,Resigned,9/1/2014,1/8/2022,Y
EMP_155,32,Female,Divorced,Master's,HR,Finance,4,51441,3,2,1,Completed,None,3,1,Resigned,12/5/2011,6/22/2021,Y
EMP_156,32,Other,Divorced,Bachelor's,Manager,IT,2,38526,2,4,0,Not Completed,Involuntary,3,1,Active,10/6/2014,,N
EMP_157,38,Female,Married,Master's,HR,IT,17,67161,3,2,1,Completed,None,1,10,Active,12/24/2011,,N
EMP_158,53,Male,Single,Master's,Finance,Engineering,6,31044,1,4,0,Completed,Voluntary,2,7,Active,5/10/2019,,N
EMP_159,40,Other,Single,Master's,Sales,Engineering,10,108301,2,2,0,Not Completed,None,5,2,Active,5/30/2019,,N
EMP_160,48,Male,Married,Doctorate,Manager,HR,14,48175,4,4,2,Completed,Involuntary,4,8,Active,10/26/2008,,N
EMP_161,53,Male,Married,High School,Manager,HR,15,78887,5,2,0,Not Completed,None,4,3,Active,4/12/2016,,N
EMP_162,46,Other,Divorced,Bachelor's,Sales,Sales,12,81671,5,2,1,Completed,None,3,13,Resigned,5/31/2000,8/9/2004,Y
EMP_163,49,Male,Married,Bachelor's,Engineer,Sales,19,30961,1,2,1,Not Completed,None,2,5,Resigned,12/29/2018,6/11/2022,Y
EMP_164,48,Female,Single,Master's,Finance,IT,11,99285,5,2,2,Not Completed,Voluntary,3,0,Resigned,5/15/2004,6/29/2009,Y
EMP_165,35,Male,Married,Master's,Sales,Management,1,81966,5,4,1,Completed,None,1,10,Active,7/29/2004,,N
EMP_166,23,Other,Married,High School,IT Support,Sales,8,46973,5,3,2,Completed,Voluntary,2,14,Active,8/28/2019,,N
EMP_167,38,Other,Single,Master's,Manager,IT,6,113908,4,2,1,Not Completed,Voluntary,1,9,Active,11/9/2016,,N
EMP_168,22,Female,Single,Doctorate,Engineer,HR,12,73393,5,2,1,Completed,Voluntary,4,9,Active,3/14/2004,,N
EMP_169,53,Other,Married,High School,Manager,HR,16,68433,3,2,0,Not Completed,Involuntary,3,2,Active,4/14/2004,,N
EMP_170,40,Male,Divorced,Master's,HR,Sales,18,100077,1,2,0,Completed,None,3,3,Active,8/8/2002,,N
EMP_171,35,Male,Divorced,High School,Manager,Management,12,60678,1,2,0,Not Completed,Voluntary,5,4,Active,12/24/2007,,N
EMP_172,52,Other,Divorced,Bachelor's,Finance,IT,2,48344,1,1,1,Completed,Voluntary,2,12,Active,10/28/2006,,N
EMP_173,39,Female,Single,Master's,Sales,HR,7,75154,4,1,2,Not Completed,None,4,0,Active,9/3/2003,,N
EMP_174,35,Female,Single,High School,Manager,IT,9,38846,4,2,2,Completed,None,5,13,Active,1/3/2019,,N
EMP_175,35,Other,Divorced,High School,IT Support,Management,18,63846,5,2,2,Completed,None,5,3,Active,1/1/2002,,N
EMP_176,45,Male,Married,Master's,HR,HR,9,100565,3,2,0,Not Completed,None,3,4,Resigned,11/12/2011,4/5/2018,Y
EMP_177,26,Other,Married,High School,HR,IT,8,88802,5,3,1,Not Completed,Retirement,2,3,Active,6/22/2001,,N
EMP_178,37,Other,Married,Master's,Sales,Management,1,46272,1,4,0,Not Completed,None,3,9,Active,2/7/2002,,N
EMP_179,26,Female,Single,Master's,HR,Management,5,78613,3,2,1,Not Completed,None,2,9,Active,10/27/2007,,N
EMP_180,34,Male,Single,Doctorate,Sales,Management,16,119306,1,3,1,Not Completed,Retirement,5,6,Resigned,3/14/2010,3/30/2011,Y
EMP_181,37,Female,Divorced,Doctorate,Finance,Sales,14,43104,3,3,1,Not Completed,Involuntary,1,7,Active,11/27/2018,,N
EMP_182,36,Female,Married,High School,Sales,Engineering,13,45855,2,2,0,Completed,None,4,11,Resigned,10/22/2005,1/7/2012,Y
EMP_183,52,Male,Single,High School,Engineer,IT,11,67524,4,4,1,Completed,None,5,7,Active,3/16/2015,,N
EMP_184,26,Male,Single,High School,HR,Management,13,96455,4,1,0,Not Completed,Voluntary,3,2,Active,9/30/2004,,N
EMP_185,42,Male,Divorced,Bachelor's,HR,IT,15,72706,1,2,0,Completed,Retirement,4,12,Terminated,1/9/2012,6/8/2017,Y
EMP_186,51,Other,Married,Master's,IT Support,Management,16,64526,1,2,1,Not Completed,None,5,4,Active,1/14/2000,,N
EMP_187,44,Male,Single,Master's,Manager,IT,13,39363,2,1,1,Completed,Retirement,2,9,Active,11/20/2012,,N
EMP_188,59,Other,Single,Bachelor's,Engineer,HR,8,82430,5,4,1,Not Completed,Involuntary,3,14,Active,1/22/2010,,N
EMP_189,50,Female,Single,Bachelor's,Manager,IT,18,79511,3,1,0,Not Completed,None,5,7,Active,4/17/2012,,N
EMP_190,34,Male,Single,High School,Sales,Engineering,19,86738,2,2,1,Completed,Voluntary,2,6,Active,7/9/2000,,N
EMP_191,53,Other,Married,Master's,Finance,HR,15,109791,2,2,1,Not Completed,Involuntary,2,13,Active,5/29/2016,,N
EMP_192,48,Other,Divorced,Doctorate,IT Support,HR,10,99346,1,3,2,Completed,None,2,8,Active,11/4/2007,,N
EMP_193,55,Other,Married,Doctorate,HR,Management,4,31440,1,1,2,Completed,None,4,12,Terminated,2/9/2017,9/2/2021,Y
EMP_194,54,Other,Divorced,Bachelor's,Finance,Finance,6,97255,5,3,2,Completed,None,3,9,Active,3/26/2011,,N
EMP_195,25,Female,Single,Bachelor's,Sales,Engineering,8,74213,5,3,1,Completed,None,2,6,Active,1/9/2003,,N
EMP_196,39,Male,Married,Master's,Sales,HR,7,30555,1,3,0,Completed,None,5,1,Active,9/13/2007,,N
EMP_197,27,Male,Divorced,Master's,Engineer,Finance,12,107648,4,3,2,Completed,None,2,3,Active,10/14/2016,,N
EMP_198,49,Male,Divorced,Doctorate,Manager,Finance,18,97833,5,1,0,Completed,Voluntary,3,11,Active,10/13/2001,,N
EMP_199,48,Male,Single,Master's,HR,HR,18,31535,2,1,2,Completed,None,4,13,Active,2/23/2018,,N
EMP_200,47,Male,Divorced,High School,HR,Management,19,44931,1,1,2,Completed,Retirement,2,11,Terminated,10/12/2003,12/20/2005,Y
EMP_201,41,Male,Divorced,Bachelor's,Finance,Sales,4,101818,3,2,0,Completed,None,5,7,Active,11/13/2014,,N
EMP_202,34,Other,Divorced,Doctorate,Engineer,HR,1,74262,3,4,2,Not Completed,Voluntary,3,8,Active,5/16/2019,,N
EMP_203,49,Male,Single,Doctorate,IT Support,Management,5,54587,4,3,0,Completed,Voluntary,2,6,Active,3/16/2018,,N
EMP_204,55,Other,Married,High School,Sales,Engineering,7,63040,1,2,1,Completed,Voluntary,4,4,Active,3/29/2018,,N
EMP_205,44,Female,Single,Master's,Engineer,Management,11,75543,2,1,1,Not Completed,None,1,0,Resigned,3/12/2002,9/5/2008,Y
